Gene_1_ENSG|Gene_2_ENSG|DB_or_Algorithm|Supporting_PMID(s)
ENSG00000001167|ENSG00000146963|(HuRI)|32296183
ENSG00000001167|ENSG00000161202|(HuRI)|32296183
ENSG00000001167|ENSG00000165417|(HuRI)|32296183
ENSG00000001167|ENSG00000172530|(HuRI)|32296183
ENSG00000001167|ENSG00000198218|(HuRI)|32296183
ENSG00000001167|ENSG00000198258|(HuRI)|32296183
ENSG00000001167|ENSG00000198420|(HuRI)|32296183
ENSG00000001461|ENSG00000101363|(HuRI)|32296183
ENSG00000001461|ENSG00000105369|(HuRI)|32296183
ENSG00000001461|ENSG00000137210|(HuRI)|32296183
ENSG00000001461|ENSG00000158813|(HuRI)|32296183
ENSG00000001461|ENSG00000160131|(HuRI)|32296183
ENSG00000001461|ENSG00000164294|(HuRI)|32296183
ENSG00000001461|ENSG00000168958|(HuRI)|32296183
ENSG00000001461|ENSG00000185883|(HuRI)|32296183
ENSG00000001461|ENSG00000265107|(HuRI)|32296183
ENSG00000001561|ENSG00000105677|(HuRI)|32296183
ENSG00000001561|ENSG00000139644|(HuRI)|32296183
ENSG00000001631|ENSG00000078140|(HuRI)|32296183
ENSG00000002016|ENSG00000002016|(HuRI)|32296183
ENSG00000002016|ENSG00000005102|(HuRI)|32296183
ENSG00000002016|ENSG00000066136|(HuRI)|32296183
ENSG00000002016|ENSG00000102753|(HuRI)|32296183
ENSG00000002016|ENSG00000106511|(HuRI)|32296183
ENSG00000002016|ENSG00000173846|(HuRI)|32296183
ENSG00000002016|ENSG00000196092|(HuRI)|32296183
ENSG00000002016|ENSG00000196911|(HuRI)|32296183
ENSG00000002016|ENSG00000272886|(HuRI)|32296183
ENSG00000002016|ENSG00000278023|(HuRI)|32296183
ENSG00000002330|ENSG00000077522|(HuRI)|32296183
ENSG00000002330|ENSG00000094796|(HuRI)|32296183
ENSG00000002330|ENSG00000129473|(HuRI)|32296183
ENSG00000002330|ENSG00000171552|(HuRI)|32296183
ENSG00000002549|ENSG00000065029|(HuRI)|32296183
ENSG00000002549|ENSG00000084764|(HuRI)|32296183
ENSG00000002549|ENSG00000094916|(HuRI)|32296183
ENSG00000002549|ENSG00000117461|(HuRI)|32296183
ENSG00000002549|ENSG00000122565|(HuRI)|32296183
ENSG00000002549|ENSG00000150773|(HuRI)|32296183
ENSG00000002549|ENSG00000158773|(HuRI)|32296183
ENSG00000002549|ENSG00000159840|(HuRI)|32296183
ENSG00000002549|ENSG00000172530|(HuRI)|32296183
ENSG00000002726|ENSG00000135482|(HuRI)|32296183
ENSG00000002726|ENSG00000143442|(HuRI)|32296183
ENSG00000002726|ENSG00000151923|(HuRI)|32296183
ENSG00000002726|ENSG00000156795|(HuRI)|32296183
ENSG00000002726|ENSG00000160973|(HuRI)|32296183
ENSG00000002726|ENSG00000164438|(HuRI)|32296183
ENSG00000002726|ENSG00000166831|(HuRI)|32296183
ENSG00000002726|ENSG00000183283|(HuRI)|32296183
ENSG00000002726|ENSG00000183640|(HuRI)|32296183
ENSG00000002746|ENSG00000148704|(HuRI)|32296183
ENSG00000002822|ENSG00000012779|(HuRI)|32296183
ENSG00000002822|ENSG00000048540|(HuRI)|32296183
ENSG00000002822|ENSG00000057663|(HuRI)|32296183
ENSG00000002822|ENSG00000068394|(HuRI)|32296183
ENSG00000002822|ENSG00000072201|(HuRI)|32296183
ENSG00000002822|ENSG00000078114|(HuRI)|32296183
ENSG00000002822|ENSG00000083535|(HuRI)|32296183
ENSG00000002822|ENSG00000088727|(HuRI)|32296183
ENSG00000002822|ENSG00000103528|(HuRI)|32296183
ENSG00000002822|ENSG00000105401|(HuRI)|32296183
ENSG00000002822|ENSG00000105617|(HuRI)|32296183
ENSG00000002822|ENSG00000112130|(HuRI)|32296183
ENSG00000002822|ENSG00000117266|(HuRI)|32296183
ENSG00000002822|ENSG00000119862|(HuRI)|32296183
ENSG00000002822|ENSG00000131375|(HuRI)|32296183
ENSG00000002822|ENSG00000134207|(HuRI)|32296183
ENSG00000002822|ENSG00000135655|(HuRI)|32296183
ENSG00000002822|ENSG00000135951|(HuRI)|32296183
ENSG00000002822|ENSG00000137699|(HuRI)|32296183
ENSG00000002822|ENSG00000140259|(HuRI)|32296183
ENSG00000002822|ENSG00000140416|(HuRI)|32296183
ENSG00000002822|ENSG00000141013|(HuRI)|32296183
ENSG00000002822|ENSG00000143549|(HuRI)|32296183
ENSG00000002822|ENSG00000146112|(HuRI)|32296183
ENSG00000002822|ENSG00000152404|(HuRI)|32296183
ENSG00000002822|ENSG00000156795|(HuRI)|32296183
ENSG00000002822|ENSG00000157514|(HuRI)|32296183
ENSG00000002822|ENSG00000163071|(HuRI)|32296183
ENSG00000002822|ENSG00000164109|(HuRI)|32296183
ENSG00000002822|ENSG00000166170|(HuRI)|32296183
ENSG00000002822|ENSG00000166407|(HuRI)|32296183
ENSG00000002822|ENSG00000171847|(HuRI)|32296183
ENSG00000002822|ENSG00000176155|(HuRI)|32296183
ENSG00000002822|ENSG00000185264|(HuRI)|32296183
ENSG00000002822|ENSG00000198420|(HuRI)|32296183
ENSG00000002822|ENSG00000204536|(HuRI)|32296183
ENSG00000002834|ENSG00000054965|(HuRI)|32296183
ENSG00000002834|ENSG00000062822|(HuRI)|32296183
ENSG00000002834|ENSG00000064218|(HuRI)|32296183
ENSG00000002834|ENSG00000064835|(HuRI)|32296183
ENSG00000002834|ENSG00000064999|(HuRI)|32296183
ENSG00000002834|ENSG00000069011|(HuRI)|32296183
ENSG00000002834|ENSG00000070808|(HuRI)|32296183
ENSG00000002834|ENSG00000071539|(HuRI)|32296183
ENSG00000002834|ENSG00000078328|(HuRI)|32296183
ENSG00000002834|ENSG00000085872|(HuRI)|32296183
ENSG00000002834|ENSG00000091073|(HuRI)|32296183
ENSG00000002834|ENSG00000102898|(HuRI)|32296183
ENSG00000002834|ENSG00000103043|(HuRI)|32296183
ENSG00000002834|ENSG00000104973|(HuRI)|32296183
ENSG00000002834|ENSG00000105991|(HuRI)|32296183
ENSG00000002834|ENSG00000108255|(HuRI)|32296183
ENSG00000002834|ENSG00000111077|(HuRI)|32296183
ENSG00000002834|ENSG00000112559|(HuRI)|32296183
ENSG00000002834|ENSG00000114354|(HuRI)|32296183
ENSG00000002834|ENSG00000115507|(HuRI)|32296183
ENSG00000002834|ENSG00000124788|(HuRI)|32296183
ENSG00000002834|ENSG00000124827|(HuRI)|32296183
ENSG00000002834|ENSG00000125409|(HuRI)|32296183
ENSG00000002834|ENSG00000127054|(HuRI)|32296183
ENSG00000002834|ENSG00000130762|(HuRI)|32296183
ENSG00000002834|ENSG00000131721|(HuRI)|32296183
ENSG00000002834|ENSG00000134107|(HuRI)|32296183
ENSG00000002834|ENSG00000135482|(HuRI)|32296183
ENSG00000002834|ENSG00000136451|(HuRI)|32296183
ENSG00000002834|ENSG00000137075|(HuRI)|32296183
ENSG00000002834|ENSG00000137098|(HuRI)|32296183
ENSG00000002834|ENSG00000138867|(HuRI)|32296183
ENSG00000002834|ENSG00000140320|(HuRI)|32296183
ENSG00000002834|ENSG00000141013|(HuRI)|32296183
ENSG00000002834|ENSG00000143013|(HuRI)|32296183
ENSG00000002834|ENSG00000149658|(HuRI)|32296183
ENSG00000002834|ENSG00000152102|(HuRI)|32296183
ENSG00000002834|ENSG00000153060|(HuRI)|32296183
ENSG00000002834|ENSG00000156735|(HuRI)|32296183
ENSG00000002834|ENSG00000157110|(HuRI)|32296183
ENSG00000002834|ENSG00000160973|(HuRI)|32296183
ENSG00000002834|ENSG00000161992|(HuRI)|32296183
ENSG00000002834|ENSG00000162148|(HuRI)|32296183
ENSG00000002834|ENSG00000162881|(HuRI)|32296183
ENSG00000002834|ENSG00000163060|(HuRI)|32296183
ENSG00000002834|ENSG00000163499|(HuRI)|32296183
ENSG00000002834|ENSG00000164438|(HuRI)|32296183
ENSG00000002834|ENSG00000166831|(HuRI)|32296183
ENSG00000002834|ENSG00000167123|(HuRI)|32296183
ENSG00000002834|ENSG00000167615|(HuRI)|32296183
ENSG00000002834|ENSG00000167889|(HuRI)|32296183
ENSG00000002834|ENSG00000167987|(HuRI)|32296183
ENSG00000002834|ENSG00000169813|(HuRI)|32296183
ENSG00000002834|ENSG00000174279|(HuRI)|32296183
ENSG00000002834|ENSG00000175294|(HuRI)|32296183
ENSG00000002834|ENSG00000176105|(HuRI)|32296183
ENSG00000002834|ENSG00000176125|(HuRI)|32296183
ENSG00000002834|ENSG00000177613|(HuRI)|32296183
ENSG00000002834|ENSG00000179455|(HuRI)|32296183
ENSG00000002834|ENSG00000179933|(HuRI)|32296183
ENSG00000002834|ENSG00000183230|(HuRI)|32296183
ENSG00000002834|ENSG00000183283|(HuRI)|32296183
ENSG00000002834|ENSG00000185359|(HuRI)|32296183
ENSG00000002834|ENSG00000186153|(HuRI)|32296183
ENSG00000002834|ENSG00000186925|(HuRI)|32296183
ENSG00000002834|ENSG00000186930|(HuRI)|32296183
ENSG00000002834|ENSG00000186967|(HuRI)|32296183
ENSG00000002834|ENSG00000187766|(HuRI)|32296183
ENSG00000002834|ENSG00000188021|(HuRI)|32296183
ENSG00000002834|ENSG00000188493|(HuRI)|32296183
ENSG00000002834|ENSG00000188747|(HuRI)|32296183
ENSG00000002834|ENSG00000196843|(HuRI)|32296183
ENSG00000002834|ENSG00000197191|(HuRI)|32296183
ENSG00000002834|ENSG00000197683|(HuRI)|32296183
ENSG00000002834|ENSG00000198218|(HuRI)|32296183
ENSG00000002834|ENSG00000204918|(HuRI)|32296183
ENSG00000002834|ENSG00000204919|(HuRI)|32296183
ENSG00000002834|ENSG00000206052|(HuRI)|32296183
ENSG00000002834|ENSG00000206538|(HuRI)|32296183
ENSG00000002834|ENSG00000212899|(HuRI)|32296183
ENSG00000002834|ENSG00000212900|(HuRI)|32296183
ENSG00000002834|ENSG00000212933|(HuRI)|32296183
ENSG00000002834|ENSG00000227151|(HuRI)|32296183
ENSG00000002834|ENSG00000229665|(HuRI)|32296183
ENSG00000002834|ENSG00000234278|(HuRI)|32296183
ENSG00000002834|ENSG00000244025|(HuRI)|32296183
ENSG00000002834|ENSG00000269190|(HuRI)|32296183
ENSG00000002919|ENSG00000004838|(HuRI)|32296183
ENSG00000002919|ENSG00000105404|(HuRI)|32296183
ENSG00000002919|ENSG00000115255|(HuRI)|32296183
ENSG00000002919|ENSG00000115593|(HuRI)|32296183
ENSG00000002919|ENSG00000123119|(HuRI)|32296183
ENSG00000002919|ENSG00000143499|(HuRI)|32296183
ENSG00000002919|ENSG00000168070|(HuRI)|32296183
ENSG00000002919|ENSG00000170540|(HuRI)|32296183
ENSG00000002919|ENSG00000174851|(HuRI)|32296183
ENSG00000002919|ENSG00000177519|(HuRI)|32296183
ENSG00000002933|ENSG00000090661|(HuRI)|32296183
ENSG00000002933|ENSG00000105369|(HuRI)|32296183
ENSG00000002933|ENSG00000106565|(HuRI)|32296183
ENSG00000002933|ENSG00000113845|(HuRI)|32296183
ENSG00000002933|ENSG00000122033|(HuRI)|32296183
ENSG00000002933|ENSG00000135052|(HuRI)|32296183
ENSG00000002933|ENSG00000141699|(HuRI)|32296183
ENSG00000002933|ENSG00000145284|(HuRI)|32296183
ENSG00000002933|ENSG00000148110|(HuRI)|32296183
ENSG00000002933|ENSG00000164626|(HuRI)|32296183
ENSG00000002933|ENSG00000166224|(HuRI)|32296183
ENSG00000002933|ENSG00000213593|(HuRI)|32296183
ENSG00000003056|ENSG00000081721|(HuRI)|32296183
ENSG00000003056|ENSG00000126777|(HuRI)|32296183
ENSG00000003056|ENSG00000166002|(HuRI)|32296183
ENSG00000003056|ENSG00000171840|(HuRI)|32296183
ENSG00000003056|ENSG00000196329|(HuRI)|32296183
ENSG00000003402|ENSG00000056558|(HuRI)|32296183
ENSG00000003756|ENSG00000103150|(HuRI)|32296183
ENSG00000003987|ENSG00000104643|(HuRI)|32296183
ENSG00000003987|ENSG00000134480|(HuRI)|32296183
ENSG00000004059|ENSG00000132744|(HuRI)|32296183
ENSG00000004059|ENSG00000178498|(HuRI)|32296183
ENSG00000004142|ENSG00000080572|(HuRI)|32296183
ENSG00000004142|ENSG00000106153|(HuRI)|32296183
ENSG00000004142|ENSG00000177674|(HuRI)|32296183
ENSG00000004399|ENSG00000120075|(HuRI)|32296183
ENSG00000004478|ENSG00000174842|(HuRI)|32296183
ENSG00000004487|ENSG00000051128|(HuRI)|32296183
ENSG00000004487|ENSG00000061337|(HuRI)|32296183
ENSG00000004487|ENSG00000076604|(HuRI)|32296183
ENSG00000004487|ENSG00000094796|(HuRI)|32296183
ENSG00000004487|ENSG00000100065|(HuRI)|32296183
ENSG00000004487|ENSG00000100109|(HuRI)|32296183
ENSG00000004487|ENSG00000101624|(HuRI)|32296183
ENSG00000004487|ENSG00000103154|(HuRI)|32296183
ENSG00000004487|ENSG00000103852|(HuRI)|32296183
ENSG00000004487|ENSG00000104964|(HuRI)|32296183
ENSG00000004487|ENSG00000105717|(HuRI)|32296183
ENSG00000004487|ENSG00000110330|(HuRI)|32296183
ENSG00000004487|ENSG00000116044|(HuRI)|32296183
ENSG00000004487|ENSG00000117625|(HuRI)|32296183
ENSG00000004487|ENSG00000118194|(HuRI)|32296183
ENSG00000004487|ENSG00000120860|(HuRI)|32296183
ENSG00000004487|ENSG00000121058|(HuRI)|32296183
ENSG00000004487|ENSG00000123349|(HuRI)|32296183
ENSG00000004487|ENSG00000131738|(HuRI)|32296183
ENSG00000004487|ENSG00000136997|(HuRI)|32296183
ENSG00000004487|ENSG00000139722|(HuRI)|32296183
ENSG00000004487|ENSG00000140481|(HuRI)|32296183
ENSG00000004487|ENSG00000140859|(HuRI)|32296183
ENSG00000004487|ENSG00000141013|(HuRI)|32296183
ENSG00000004487|ENSG00000141425|(HuRI)|32296183
ENSG00000004487|ENSG00000143514|(HuRI)|32296183
ENSG00000004487|ENSG00000148572|(HuRI)|32296183
ENSG00000004487|ENSG00000151575|(HuRI)|32296183
ENSG00000004487|ENSG00000153179|(HuRI)|32296183
ENSG00000004487|ENSG00000154127|(HuRI)|32296183
ENSG00000004487|ENSG00000159289|(HuRI)|32296183
ENSG00000004487|ENSG00000163126|(HuRI)|32296183
ENSG00000004487|ENSG00000163611|(HuRI)|32296183
ENSG00000004487|ENSG00000164304|(HuRI)|32296183
ENSG00000004487|ENSG00000165669|(HuRI)|32296183
ENSG00000004487|ENSG00000166037|(HuRI)|32296183
ENSG00000004487|ENSG00000166860|(HuRI)|32296183
ENSG00000004487|ENSG00000167110|(HuRI)|32296183
ENSG00000004487|ENSG00000169758|(HuRI)|32296183
ENSG00000004487|ENSG00000170264|(HuRI)|32296183
ENSG00000004487|ENSG00000171346|(HuRI)|32296183
ENSG00000004487|ENSG00000175455|(HuRI)|32296183
ENSG00000004487|ENSG00000179562|(HuRI)|32296183
ENSG00000004487|ENSG00000182473|(HuRI)|32296183
ENSG00000004487|ENSG00000196859|(HuRI)|32296183
ENSG00000004487|ENSG00000197079|(HuRI)|32296183
ENSG00000004487|ENSG00000204889|(HuRI)|32296183
ENSG00000004487|ENSG00000214717|(HuRI)|32296183
ENSG00000004487|ENSG00000234616|(HuRI)|32296183
ENSG00000004487|ENSG00000273136|(HuRI)|32296183
ENSG00000004534|ENSG00000166974|(HuRI)|32296183
ENSG00000004777|ENSG00000197191|(HuRI)|32296183
ENSG00000004779|ENSG00000072201|(HuRI)|32296183
ENSG00000004779|ENSG00000075420|(HuRI)|32296183
ENSG00000004779|ENSG00000103043|(HuRI)|32296183
ENSG00000004779|ENSG00000104147|(HuRI)|32296183
ENSG00000004779|ENSG00000104756|(HuRI)|32296183
ENSG00000004779|ENSG00000105327|(HuRI)|32296183
ENSG00000004779|ENSG00000106263|(HuRI)|32296183
ENSG00000004779|ENSG00000106459|(HuRI)|32296183
ENSG00000004779|ENSG00000119705|(HuRI)|32296183
ENSG00000004779|ENSG00000119725|(HuRI)|32296183
ENSG00000004779|ENSG00000124191|(HuRI)|32296183
ENSG00000004779|ENSG00000131931|(HuRI)|32296183
ENSG00000004779|ENSG00000135363|(HuRI)|32296183
ENSG00000004779|ENSG00000139714|(HuRI)|32296183
ENSG00000004779|ENSG00000141965|(HuRI)|32296183
ENSG00000004779|ENSG00000156795|(HuRI)|32296183
ENSG00000004779|ENSG00000157429|(HuRI)|32296183
ENSG00000004779|ENSG00000159214|(HuRI)|32296183
ENSG00000004779|ENSG00000160972|(HuRI)|32296183
ENSG00000004779|ENSG00000164438|(HuRI)|32296183
ENSG00000004779|ENSG00000165916|(HuRI)|32296183
ENSG00000004779|ENSG00000167272|(HuRI)|32296183
ENSG00000004779|ENSG00000172273|(HuRI)|32296183
ENSG00000004779|ENSG00000183386|(HuRI)|32296183
ENSG00000004779|ENSG00000184515|(HuRI)|32296183
ENSG00000004779|ENSG00000185869|(HuRI)|32296183
ENSG00000004779|ENSG00000188747|(HuRI)|32296183
ENSG00000004779|ENSG00000214309|(HuRI)|32296183
ENSG00000004779|ENSG00000242689|(HuRI)|32296183
ENSG00000004779|ENSG00000248746|(HuRI)|32296183
ENSG00000004799|ENSG00000175895|(HuRI)|32296183
ENSG00000004838|ENSG00000089225|(HuRI)|32296183
ENSG00000004838|ENSG00000119650|(HuRI)|32296183
ENSG00000004838|ENSG00000130950|(HuRI)|32296183
ENSG00000004838|ENSG00000132938|(HuRI)|32296183
ENSG00000004838|ENSG00000149100|(HuRI)|32296183
ENSG00000004838|ENSG00000184258|(HuRI)|32296183
ENSG00000004838|ENSG00000184507|(HuRI)|32296183
ENSG00000004838|ENSG00000185272|(HuRI)|32296183
ENSG00000004838|ENSG00000196628|(HuRI)|32296183
ENSG00000004838|ENSG00000197191|(HuRI)|32296183
ENSG00000004838|ENSG00000239779|(HuRI)|32296183
ENSG00000004939|ENSG00000134389|(HuRI)|32296183
ENSG00000004939|ENSG00000135211|(HuRI)|32296183
ENSG00000004939|ENSG00000149451|(HuRI)|32296183
ENSG00000004939|ENSG00000163217|(HuRI)|32296183
ENSG00000004961|ENSG00000028528|(HuRI)|32296183
ENSG00000004961|ENSG00000136305|(HuRI)|32296183
ENSG00000004961|ENSG00000163904|(HuRI)|32296183
ENSG00000005075|ENSG00000076604|(HuRI)|32296183
ENSG00000005075|ENSG00000104147|(HuRI)|32296183
ENSG00000005075|ENSG00000122180|(HuRI)|32296183
ENSG00000005075|ENSG00000137575|(HuRI)|32296183
ENSG00000005075|ENSG00000156795|(HuRI)|32296183
ENSG00000005075|ENSG00000167987|(HuRI)|32296183
ENSG00000005075|ENSG00000171453|(HuRI)|32296183
ENSG00000005075|ENSG00000174446|(HuRI)|32296183
ENSG00000005075|ENSG00000248712|(HuRI)|32296183
ENSG00000005102|ENSG00000029993|(HuRI)|32296183
ENSG00000005102|ENSG00000037965|(HuRI)|32296183
ENSG00000005102|ENSG00000050748|(HuRI)|32296183
ENSG00000005102|ENSG00000051128|(HuRI)|32296183
ENSG00000005102|ENSG00000071655|(HuRI)|32296183
ENSG00000005102|ENSG00000077279|(HuRI)|32296183
ENSG00000005102|ENSG00000080561|(HuRI)|32296183
ENSG00000005102|ENSG00000089682|(HuRI)|32296183
ENSG00000005102|ENSG00000092208|(HuRI)|32296183
ENSG00000005102|ENSG00000099804|(HuRI)|32296183
ENSG00000005102|ENSG00000100034|(HuRI)|32296183
ENSG00000005102|ENSG00000100395|(HuRI)|32296183
ENSG00000005102|ENSG00000101266|(HuRI)|32296183
ENSG00000005102|ENSG00000102119|(HuRI)|32296183
ENSG00000005102|ENSG00000104812|(HuRI)|32296183
ENSG00000005102|ENSG00000105650|(HuRI)|32296183
ENSG00000005102|ENSG00000107341|(HuRI)|32296183
ENSG00000005102|ENSG00000108788|(HuRI)|32296183
ENSG00000005102|ENSG00000108861|(HuRI)|32296183
ENSG00000005102|ENSG00000112578|(HuRI)|32296183
ENSG00000005102|ENSG00000115556|(HuRI)|32296183
ENSG00000005102|ENSG00000116922|(HuRI)|32296183
ENSG00000005102|ENSG00000119725|(HuRI)|32296183
ENSG00000005102|ENSG00000121851|(HuRI)|32296183
ENSG00000005102|ENSG00000125733|(HuRI)|32296183
ENSG00000005102|ENSG00000127445|(HuRI)|32296183
ENSG00000005102|ENSG00000133488|(HuRI)|32296183
ENSG00000005102|ENSG00000137098|(HuRI)|32296183
ENSG00000005102|ENSG00000137575|(HuRI)|32296183
ENSG00000005102|ENSG00000138964|(HuRI)|32296183
ENSG00000005102|ENSG00000139946|(HuRI)|32296183
ENSG00000005102|ENSG00000140299|(HuRI)|32296183
ENSG00000005102|ENSG00000140553|(HuRI)|32296183
ENSG00000005102|ENSG00000140830|(HuRI)|32296183
ENSG00000005102|ENSG00000140961|(HuRI)|32296183
ENSG00000005102|ENSG00000141543|(HuRI)|32296183
ENSG00000005102|ENSG00000146063|(HuRI)|32296183
ENSG00000005102|ENSG00000146281|(HuRI)|32296183
ENSG00000005102|ENSG00000147421|(HuRI)|32296183
ENSG00000005102|ENSG00000150636|(HuRI)|32296183
ENSG00000005102|ENSG00000152404|(HuRI)|32296183
ENSG00000005102|ENSG00000154328|(HuRI)|32296183
ENSG00000005102|ENSG00000155329|(HuRI)|32296183
ENSG00000005102|ENSG00000155744|(HuRI)|32296183
ENSG00000005102|ENSG00000155754|(HuRI)|32296183
ENSG00000005102|ENSG00000158435|(HuRI)|32296183
ENSG00000005102|ENSG00000163960|(HuRI)|32296183
ENSG00000005102|ENSG00000164008|(HuRI)|32296183
ENSG00000005102|ENSG00000166211|(HuRI)|32296183
ENSG00000005102|ENSG00000167131|(HuRI)|32296183
ENSG00000005102|ENSG00000167515|(HuRI)|32296183
ENSG00000005102|ENSG00000167535|(HuRI)|32296183
ENSG00000005102|ENSG00000172497|(HuRI)|32296183
ENSG00000005102|ENSG00000173207|(HuRI)|32296183
ENSG00000005102|ENSG00000174788|(HuRI)|32296183
ENSG00000005102|ENSG00000176148|(HuRI)|32296183
ENSG00000005102|ENSG00000176248|(HuRI)|32296183
ENSG00000005102|ENSG00000179046|(HuRI)|32296183
ENSG00000005102|ENSG00000179455|(HuRI)|32296183
ENSG00000005102|ENSG00000179562|(HuRI)|32296183
ENSG00000005102|ENSG00000179933|(HuRI)|32296183
ENSG00000005102|ENSG00000181929|(HuRI)|32296183
ENSG00000005102|ENSG00000185133|(HuRI)|32296183
ENSG00000005102|ENSG00000185264|(HuRI)|32296183
ENSG00000005102|ENSG00000187778|(HuRI)|32296183
ENSG00000005102|ENSG00000187840|(HuRI)|32296183
ENSG00000005102|ENSG00000188566|(HuRI)|32296183
ENSG00000005102|ENSG00000197256|(HuRI)|32296183
ENSG00000005102|ENSG00000198925|(HuRI)|32296183
ENSG00000005102|ENSG00000204438|(HuRI)|32296183
ENSG00000005102|ENSG00000214447|(HuRI)|32296183
ENSG00000005102|ENSG00000243335|(HuRI)|32296183
ENSG00000005108|ENSG00000012660|(HuRI)|32296183
ENSG00000005108|ENSG00000086159|(HuRI)|32296183
ENSG00000005108|ENSG00000093010|(HuRI)|32296183
ENSG00000005108|ENSG00000105383|(HuRI)|32296183
ENSG00000005108|ENSG00000133800|(HuRI)|32296183
ENSG00000005108|ENSG00000135052|(HuRI)|32296183
ENSG00000005108|ENSG00000160131|(HuRI)|32296183
ENSG00000005108|ENSG00000166257|(HuRI)|32296183
ENSG00000005108|ENSG00000168591|(HuRI)|32296183
ENSG00000005108|ENSG00000169379|(HuRI)|32296183
ENSG00000005108|ENSG00000170509|(HuRI)|32296183
ENSG00000005108|ENSG00000182508|(HuRI)|32296183
ENSG00000005194|ENSG00000108010|(HuRI)|32296183
ENSG00000005194|ENSG00000167535|(HuRI)|32296183
ENSG00000005194|ENSG00000188566|(HuRI)|32296183
ENSG00000005238|ENSG00000011243|(HuRI)|32296183
ENSG00000005238|ENSG00000019995|(HuRI)|32296183
ENSG00000005238|ENSG00000036054|(HuRI)|32296183
ENSG00000005238|ENSG00000061455|(HuRI)|32296183
ENSG00000005238|ENSG00000064655|(HuRI)|32296183
ENSG00000005238|ENSG00000066185|(HuRI)|32296183
ENSG00000005238|ENSG00000070778|(HuRI)|32296183
ENSG00000005238|ENSG00000075399|(HuRI)|32296183
ENSG00000005238|ENSG00000076604|(HuRI)|32296183
ENSG00000005238|ENSG00000080561|(HuRI)|32296183
ENSG00000005238|ENSG00000100151|(HuRI)|32296183
ENSG00000005238|ENSG00000102753|(HuRI)|32296183
ENSG00000005238|ENSG00000104964|(HuRI)|32296183
ENSG00000005238|ENSG00000107816|(HuRI)|32296183
ENSG00000005238|ENSG00000112214|(HuRI)|32296183
ENSG00000005238|ENSG00000112559|(HuRI)|32296183
ENSG00000005238|ENSG00000115641|(HuRI)|32296183
ENSG00000005238|ENSG00000120896|(HuRI)|32296183
ENSG00000005238|ENSG00000123349|(HuRI)|32296183
ENSG00000005238|ENSG00000124160|(HuRI)|32296183
ENSG00000005238|ENSG00000127191|(HuRI)|32296183
ENSG00000005238|ENSG00000131737|(HuRI)|32296183
ENSG00000005238|ENSG00000135363|(HuRI)|32296183
ENSG00000005238|ENSG00000136436|(HuRI)|32296183
